repo-url	repo-name	repo-description	author-name	author-url	repo-tags
Veracode Sandbox Mitigated Unique Findings	This script will pull all open findings across all sandboxes for all applications and calculate which mitigated (proposed, accepted, or rejected) findings only exist in a single sandbox, and therefore may be deleted when the sandbox is deleted.	Ctcampbell	Automating common Veracode Platform tasks, Sandbox, Mitigations, Automation Script	https://github.com/ctcampbell/veracode-sandbox-mitigated-unique-findings	https://github.com/ctcampbell
Veracode Scan Counts	Identify Veracode application profiles with one or more static scans in an incomplete state.	Tjarrettveracode	Automating common Veracode Platform tasks, Scan Hygiene, Concurrency, SAST, Automation Script	https://github.com/tjarrettveracode/veracode-scan-counts	https://github.com/tjarrettveracode
Veracode Workspace Auto Create	Uses the Veracode Agent Based Scan API and other Veracode REST APIs to automatically create a workspace for application profiles in a Veracode organization.	Tjarrettveracode	Automating common Veracode Platform tasks, SCA, Workspaces, Automation Script	https://github.com/tjarrettveracode/veracode-workspace-auto-create	https://github.com/tjarrettveracode/
Veracode Delete Sandboxes via Threshold	JavaScript that will automatically delete Sandboxes from a profile via a configured threshold and the number of Sandboxes to be deleted.	Julz0815	Automating common Veracode Platform tasks, Sandboxes, Deletion, Automation Script	https://github.com/julz0815/VeracodeDeleteSandboxes	https://github.com/julz0815/
JavaScript Auto Packager	CLI tool to automatically package a `JavaScript` application for Veracode Static Analysis	dub-flow	SAST Auto Packager, JavaScript, Automation Script	https://github.com/dub-flow/veracode-javascript-packager	https://github.com/dub-flow/
Go Auto Packager	CLI tool to automatically package a `Golang` application for Veracode Static Analysis	relaxnow	SAST Auto Packager, GoLang, Automation Script	https://github.com/relaxnow/vcgopkg	https://github.com/relaxnow
.NET Auto Packager	CLI tool to automatically package a `.NET` application for Veracode Static Analysis	nhinv11	SAST Auto Packager, .NET, Automation Script	https://github.com/nhinv11/veracode-dotnet-packager	https://github.com/nhinv11
Bamboo	Full featured Bamboo plugin including configuration UI, wait for scan to complete, and break the build functionality	Buzzcode	CI/CD, Bamboo, Plugin	https://gitlab.com/buzzcode/Bamboo-Veracode	https://gitlab.com/buzzcode/
Bamboo-Jira	Provides a pair of simple Plugin for upload and results handling from within Bamboo, and a lightweight script to create Jira issues - ARCHIVED	Buildcom	CI/CD, ARCHIVED, Bamboo, Jira, Plugin	https://github.com/buildcom/VeracodeAtlassianPlugin	https://github.com/buildcom/
Bash-CircleCI	Veracode Upload and Scan Bash Script, originally written for CircleCI but can be used for any build system that can run a shell script in bash.	Unregistered436	CI/CD, CircleCI, Shell, Automation Script	https://github.com/unregistered436/veracode-integrations/tree/master/shell-script	https://github.com/unregistered436
Bitrise-step-veracode-scan	Adds Veracode scanning to Bitrise CI.	Psoladoye-geotab	CI/CD, Bitrise CI, Automation Script	https://github.com/psoladoye-geotab/bitrise-step-veracode-scan	https://github.com/psoladoye-geotab/
CircleCI	Example configurations for building a project with Maven, then executing policy scan, agent-based SCA, and pipeline scan in a CircleCI pipeline.	ctcircleci	CI/CD, Java, Maven, Circle CI, Automation Script	https://github.com/ctcircleci/Verademo/blob/master/.circleci/config.yml	https://github.com/ctcircleci
CircleCI	Example configuration for zipping a project, then executing policy scan, agent-based SCA, and pipeline scan in a CircleCI pipeline.	buzzcode	CI/CD, Node.JS, Circle CI, Automation Script	https://github.com/buzzcode/NodeGoat/blob/master/.circleci/config.yml	https://github.com/buzzcode
easy_sast	A docker container for use in CI pipelines which integrates with Veracode's static analysis tool.	docker container	CI/CD, SAST, Plugin	https://github.com/seisollc/easy_sast	https://hub.docker.com/u/seiso
Exemplos Veracode	In this repository you will find several examples for Veracode implementations created by the [M3Corp|https://github.com/M3Corp-Community] team. In the [Pipelines|https://github.com/M3Corp-Community/Veracode/tree/main/Pipelines] folder you can find how to implement in the most diverse CI/CD tools, such as [Azure|https://github.com/M3Corp-Community/Veracode/tree/main/Pipelines/Az%20DevOps], [GitLab|https://github.com/M3Corp-Community/Veracode/tree/main/Pipelines/GitLab], [GitHub Actions|https://github.com/M3Corp-Community/Veracode/tree/main/Pipelines/GitHub%20Actions], and [Jenkins|https://github.com/M3Corp-Community/Veracode/tree/main/Pipelines/Jenkins]. Other implementation examples such as [running in a terminal|https://github.com/M3Corp-Community/Veracode/tree/main/SOs] and [translating the results|https://github.com/M3Corp-Community/Veracode/tree/main/FreeStyle] are also available. We normally publish in Portuguese, but the examples are completely understandable in other languages.	Ivo Dias	CI/CD, Azure DevOps, ADO, GitLab, GitHub, Jenkins, CLI, Bash, Shell, Scan Results, Automation Example, Portuguese	https://github.com/M3Corp-Community/Veracode	https://github.com/IGDEXE
Jenkins (Jenkins Shell)	Unofficial Veracode shell integration for Jenkins Freestyle projects.	Ian C Leonard	CI/CD, Jenkins, Shell, Automation Script	https://github.com/ian-c-leonard/veracode_jenkins_shell	https://github.com/ian-c-leonard/
veracode-badges	Produces badges for READMEs and other artifact repositories showing the status of Veracode policy scans.	Lerer	CI/CD, Tagging, Badges, Repositories, One-of run	https://github.com/Lerer/veracode-badge	https://github.com/Lerer/
Veracode Community SAST Azure DevOps Extension	Seamlessly integrate Veracode SAST scans with Azure DevOps build pipelines - using Pipeline Scan.	MetLife	CI/CD, Azure DevOps, ADO, Pipeline Scan, SAST, Plugin	https://github.com/MetLife/VeracodeCommunitySAST	https://github.com/MetLife/
veracode-scripts	Various example scripts for Jenkins and GitLab pipelines, including both static and dynamic examples.	aszaryk	CI/CD, SAST, DAST, Jenkins, GitLab, Automation Example	https://gitlab.com/aszaryk/veracode-scripts	https://github.com/aszaryk/
veracode-serverless-webhooks	Enables Veracode customers who want to use the Veracode Upload-and-Scan Static and SCA scans and get updates back in an asynchronous manner - not compatible with Pipeline or the IDE scans.	Lerer	CI/CD, Webhooks, SAST, SCA, Plugin	https://github.com/Lerer/serverless-veracode-webhooks	https://github.com/Lerer
Verademo	Custom fork of Verademo, featuring sample pipeline configurations for Bitbucket, Jenkins and Azure Pipelines.	christyson	CI/CD, Maven, BitBucket, Jenkins, Azure DevOps, ADO, Automation Example	https://github.com/christyson/verademo	https://github.com/christyson
XebiaLabs Release Veracode Plugin	XL Release for Veracode test automation.	XebiaLabs-Community	CI/CD, XebiaLabs, Plugin	https://github.com/xebialabs-community/xlr-veracode-plugin	https://github.com/xebialabs-community
veracode-yml-sample-pipelines	Example YML files for Azure DevOps, Jenkins, GitLab, CircleCI. Pipelines include Veracode SCA Agent scans, Veracode Static Analysis policy and pipeline scans.	Victor-secops	CI/CD, Azure DevOps, ADO, Jenkins, GitLab, CircleCI, SCA, SAST, Policy Scan, Pipeline Scan, Automation Example	https://github.com/victor-secops/Veracode-yml-sample-pipelines	https://github.com/victor-secops/
veracode-aws-documentation	How to setup an AWS CodeSuite with Veracode Static Analysis, Software Composition Analysis, and Dynamic Analysis.	Clintpollock	CI/CD, SAST, DAST, SCA, AWS, CodeBuild, CodePipeline, Automation Example	https://github.com/ClintPollock/Veracode-AWS-Code-Suite-Getting-Started-Guide	https://github.com/Clintpollock
veracode-examples	This repository contains veracode examples in the form of use cases that can be run in end-user environments. Kubernetes. AWS CodePipeline. CircleCi to GCP Functions. Multi-tiered application leveraging various languages.	Brandon Samuel	CI/CD, Kubernetes, AWS, CodePipeline, CodeBuild, CircleCi, GCP, Automation Example	https://github.com/restonlogic/veracode-examples	https://github.com/Engrave-zz
Veracode Azure YML Samples	Samples of Azure YML files that work with Veracode scanning	Clintpollock	CI/CD, Azure DevOps, ADO, Automation Example	https://github.com/Clintpollock/VeracodeAzureYMLSamples/	https://github.com/Clintpollock
Veracode Community SCA Azure DevOps Extension	Seamlessly integrate Veracode Agent-Based SCA scans with Azure DevOps build or release pipelines.	MetLife	CI/CD, Azure DevOps, ADO, SCA, Plugin	https://github.com/MetLife/VeracodeCommunitySCA	https://github.com/MetLife/
Veracode Dynamic Analysis Azure Sample	Veracode Dynamic Analysis Azure Sample including script based authentication, and ISM configuration (In Portuguese)	Jphillips-vc	CI/CD, Azure DevOps, ADO, Jenkins, Github Actions, Linux, Windows, DAST, Portuguese, Automation Example	https://github.com/jphillips-vc/Veracode-Dynamic-Analysis-Azure-Example	https://github.com/jphillips-vc/
Veracode Examples in Portuguese	Various examples and documents about how to use and integrate Veracode in multiples scenarios	M3Corp-Community	CI/CD, Azure DevOps, ADO, Portuguese, Automation Example	https://github.com/M3Corp-Community/Veracode	https://github.com/M3Corp-Community/
Veracode Flaw Importer	GitHub Action to import static policy findings to GitHub Security Code Scanning Alerts.	Julz0815	CI/CD, Azure DevOps, ADO, SAST, Scan Results, Plugin	https://github.com/julz0815/veracode_flaw_importer	https://github.com/julz0815/
Veracode Flaw Importer Postprocessing	Plugin made to run after the regular import to update the work items with an assigned user and a linked Work Item.	Cadonuno	CI/CD, Azure DevOps, ADO, Scan Results, Automation Script	https://github.com/cadonuno/ADOWorkItemsPostProcess	https://github.com/cadonuno/
Veracode for Azure DevOps Pipelines	Yaml files to get started with Veracode on Azure DevOps. Accompanies this [post|https://community.veracode.com/s/blog/user-story-how-we-set-up-veracode-in-a-large-azure-project-MCT4HNONEE55CIFA6O3ULXNUW2BI].	zoekdestep	CI/CD, Azure DevOps, ADO, Automation Example	https://github.com/zoekdestep/veracode-ado-pipelines	https://github.com/zoekdestep/
Azure DevOps Pipeline-Scan plugin	This plugin should make it easier to run the Veracode pipeline scan on Azure DevOps pipelines. The full scan jar is included within the plugin and don't need to be downloaded each time when the pipeline runs. In addition it will populate an additional tab on your pipeline run to display results in a more convinient way. The plugin will automatically update itself every night if a new version of the piepline scan jar is published.	Julz0815	CI/CD, Azure DevOps, ADO, Pipeline Scan, Plugin	https://github.com/julz0815/ADO-Veracode-Pipeline-Scan-Plugin	https://github.com/julz0815/
SCA Findings to Work Items	Saves new Veracode SCA findings as Azure DevOps Work Items.	Cadonuno	CI/CD, Azure DevOps, ADO, SCA, Scan Results, Automation Script	https://github.com/cadonuno/SCAFindingsToWorkItems	https://github.com/cadonuno/
Azure DevOps promote scan	This repository contains Azure DevOps scripts that can be referenced and used for integration with Veracode Analysis tools.	dmedeiros-veracode	CI/CD, Azure DevOps, ADO, SAST, Sandbox, Promotion, Automation Script	https://github.com/dmedeiros-veracode/devops-scripts-azure-devops/blob/main/jobs/veracode-sast-platform-release-candidate-promote-job.yml	https://github.com/dmedeiros-veracode
Veracode Application Sandboxes Helper	An Action to handle Sandboxes mainly as a set of clean-up activities such as: deleting a sandbox and promoting Sandbox scan to Policy Scan with or without deleting the sandbox	Lerer	CI/CD, GitHub, Sandbox Deletion, Promotion, Automation Script	https://github.com/marketplace/actions/veracode-application-sandboxes-helper	https://github.com/Lerer/
Gradle	Set of Gradle tasks, usable either as a command line submission tool or integrated as part of a continuous integration build process, to perform Veracode submission for applications and scan results for flaws.	CalgaryScientific	Build Systems, SAST, Policy Scan, Plugin	https://github.com/calgaryscientific/veracode-gradle-plugin	https://github.com/calgaryscientific
Sbt-veracode	SBT plugin for Veracode.	Sullis	Build Systems, SAST, Policy Scan, Plugin	https://github.com/sullis/sbt-veracode	https://github.com/sullis/
VSCode-Veracode	A plugin for Visual Studio Code that enables integration with Veracode Static Analysis. Currently, this only supports flaw download, but will be enhanced to support upload as well in the future.	Buzzcode	IDEs, Scan Results, VSCode, Plugin	https://gitlab.com/buzzcode/VSCode-Veracode	https://gitlab.com/buzzcode/
vsccode-veracode-sca	A very simple plugin for Veracode SCA to get agent-base SCA results into VSCode IDE.	Lerer	IDEs, VSCode, SCA, Plugin	https://github.com/Lerer/vscode-veracode-sca	https://github.com/Lerer/
unofficial-vs-code-veracode-pipeline-scan	Scan an app with Veracode Pipeline Scan, and load results from a Veracode Pipeline Scan.  - [Link to the plugin in VSCode marketplace|https://marketplace.visualstudio.com/items?itemName=ctcampbell-com.unofficial-vs-code-veracode].	Ctcampbell	IDEs,VSCode, Pipeline Scan, Plugin	https://github.com/ctcampbell/unofficial-vs-code-veracode-pipeline-scan	https://github.com/ctcampbell/
Veracode Unified Plugin Unofficial Version	VSCode plugin which integrate with the Veracode platform and enables downloading of scan results - findings - for both Static and Upload-and-Scan SCA, run pipeline scan, and submit mitigations - [Link to the plugin in VSCode marketplace|https://marketplace.visualstudio.com/items?itemName=YaakovLerer.veracode].	Lerer	IDEs, Scan Results, VSCode, SCA, Pipeline Scan, Plugin	https://github.com/Lerer/VSCode-Veracode-Unified	https://github.com/Lerer/
Jetbrains family plugin	Compliments Veracode's official IntelliJ IDE integration with support for other Jetbrains IDE products. It enables you to download the SAST result from Veracode Platform into your Jetbrains IDE.	GeraldTanCL	IDEs, JetBrains, Scan Results, Plugin	https://github.com/geraldtancl/veracode.plugin	https://github.com/geraldtancl
Insomnia	Adds an HMAC authentication header to Veracode API requests in Insomnia.	Veracode	API Testing, Insomnia, HMAC, Veracode APIs, Authentication, Plugin	https://github.com/veracode/insomnia-plugin-veracode-HMAC	https://github.com/veracode/
Veracode-Postman	Pre-request authentication script and instructions for accessing Veracode APIs from Postman.	Veracode	API Testing, Postman, HMAC, Veracode APIs, Authentication, Plugin	https://github.com/veracode/veracode-postman	https://github.com/veracode/
Ansible	Allows uploading and scanning with Veracode from Ansible, with an option to send results to a Slack channel	Telus Digital	Developer Tools, Ansible, SAST, Slack, Plugin	https://github.com/telusdigital/ansible-veracode-scanner	https://github.com/telusdigital
Flowdock	Utility designed to be run in a build process after a Veracode scan to notify a Flowdock flow that the scan completed. Optional to include policy compliance info in notification.	Brian1917	Developer Tools, Flowdock, SAST, Scan Results, Evaluation, Plugin	https://github.com/brian1917/vcodeFlowdockNotifier	https://github.com/brian1917/
PowerShell	PowerShell script for pushing binaries to Veracode using Java API.	Unregistered436	Developer Tools, Powershell, SAST, Upload, Automation Script	https://github.com/unregistered436/veracode-integrations/tree/master/powershell	https://github.com/unregistered436
Slack	AWS Lambda commands that provide the ability to access Veracode application and build information from Slack.	Ctcampbell	Developer Tools, Scan Information, Slack, Plugin	https://github.com/ctcampbell/veracode-slack-slash-command	https://github.com/ctcampbell
SonarQube	Unofficial Veracode plugin for SonarQube.	Buzzcode	Developer Tools, SonarQube, Scan Results, Plugin	https://gitlab.com/buzzcode/SonarQube-Veracode	https://gitlab.com/buzzcode
Veracode QuickScan	PHP example of how to connect to the APIs, scan a couple of files and get results.	relaxnow	Developer Tools, PHP, Policy Scan, Scan Results, Automation Example	https://github.com/relaxnow/veracode-quick-scan	https://github.com/relaxnow
veracode-tools	Docker image with all Veracode tools pre-installed.	Ctcampbell	Developer Tools, Docker, Container	https://github.com/ctcampbell/veracode-tools	https://github.com/ctcampbell
Veracode Upload and Scan Shell Script	A shell script to upload and scan a application and create the application if necessary. Uses Curl and HMAC headers.	Christyson	Developer Tools, Shell, SAST, Application Management, Automation Script	https://github.com/christyson/Veracode-Upload-and-Scan-Shell-Script	https://github.com/christyson/
Pipeline2DetailedReport	Translates Veracode Pipeline Scan results into DetailedReport XML format, allowing you to import them into an IDE plugin for remediation.	JPhillips-vc	Pipeline Scan, Scan Results, Automation Script	https://github.com/jphillips-vc/pipeline2detailedreport	https://github.com/jphillips-vc/
pipeline2html	Runs a Veracode Pipeline Scan and generates a human-readable .HTML file from the Veracode pipeline verification results.json file.	Victor-secops	Pipeline Scan, Scan Results, Automation Script	https://github.com/victor-secops/pipeline2html	https://github.com/victor-secops/
Pipeline2JUnitXml	Reads the JSON output of a Veracode Pipeline Scan and converts it into a standard JUnit test results XML file.	Cadonuno	Pipeline Scan, Scan Results, Automation Script	https://github.com/cadonuno/Pipeline2JUnitXml	https://github.com/cadonuno/
PipelineResultsCompare	Checks if there are any issues present on a pipeline results file that aren't present on another, supporting filtering by severity.	Cadonuno	Pipeline Scan, Scan Results, Automation Script	https://github.com/cadonuno/PipelineResultsCompare	https://github.com/cadonuno/
veracode-pipeline-PR-comment	Sends output of Pipeline Scan to a comment on a pull request.	Lerer	Pipeline Scan, Scan Results, Automation Script	https://github.com/Lerer/veracode-pipeline-PR-comment	https://github.com/Lerer/
veracode-pipeline-with-baseline	GitHub Action to perform a Veracode Pipeline Scan and, optionally, compare the results against a set of baseline results.	Runkalicious	Pipeline Scan, GitHub, Baseline, Automation Script	https://github.com/runkalicious/veracode-pipeline-with-baseline	https://github.com/runkalicious/
veracode-da-reset-scheduler	Resets all recurrent scheduled analysis jobs configured for one year that have expired.	dennismedeiros	Dynamic Analysis, DAST, Bulk Processing, Plugin	https://github.com/dennismedeiros/veracode-da-reset-recheduler	https://github.com/dennismedeiros
Veracode Dynamic Analysis Examples	Dynamic Analysis API Examples.  Currently includes example code for using the Scanner Variables feature, where credentials can be defined and updated at the account level, and referenced in Selenium login scripts.	anon-veracoder	Dynamic Analysis, DAST, Automation Example	https://github.com/anon-veracoder/veracode-dynamic-analysis-api-examples	https://github.com/anon-veracoder
Veracode DAST Add bulk urls to blocklist	Adds a list of urls to the blocklist for an existing DAST scan.	aabutler	Dynamic Analysis, DAST, Bulk Processing, Automation Script	https://github.com/AaronButler-Veracode/veracode_DAST_add_to_blocklist	https://github.com/AaronButler-Veracode
Veracode-Get-EPSS-Info	Gets all the SCA findings available to the user, including EPSS scores and percentiles.	Cadonuno	Software Composition Analysis, SCA, Scan Results, Automation Script	https://github.com/cadonuno/Veracode-Get-EPSS-Info	https://github.com/cadonuno/
Veracode-SCA-Webhook-Redirect	This Project exposes a Tomcat server that can redirect Veracode Agent-based SCA web hooks to Teams and Slack.	Cadonuno	Software Composition Analysis, SCA, Webhooks, SCA, Slack, Teams, Plugin	https://github.com/cadonuno/Veracode-SCA-Webhook-Redirect	https://github.com/cadonuno/
yarn-v2-workspaces-helper	Creates yarn.lock files for each workspace to make the whole project scannable with Veracode's SCA solution. this is specifically for yarn version 2 and lower	Julz0815	Software Composition Analysis, SCA, yarn, Automation Script	https://github.com/julz0815/yarnv2-workspaces-helper	https://github.com/julz0815/
yarn-v3-workspaces-helper	Creates yarn.lock files for each workspace to make the whole project scannable with Veracode's SCA solution. this is specifically for yarn version 3 and higher	Julz0815	Software Composition Analysis, SCA, yarn, Automation Script	https://github.com/julz0815/yarnv3-workspaces-helper	https://github.com/julz0815/
Excel (XLS)	Python scripts to format Veracode XML results into Excel workbook formats for easier human consumption.	Komiblanka	Scan Results, SAST, Automation Script	https://github.com/Komiblanka/Veracode2xls	https://github.com/Komiblanka/
Excel (XLSX)	Python scripts to format Veracode XML results into Excel workbook formats for easier human consumption.	Komiblanka	Scan Results, SAST, Automation Script	https://github.com/Komiblanka/Veracode2xlsx	https://github.com/Komiblanka/
Generate License Notice file	Python script that creates a License Notice file, sometimes called an Attribution Report, for an application that has been scanned by Veracode SCA.	Dave Ferguson	Scan Results, SCA, Automation Script	https://github.com/gmdavef/sca-scripts	https://github.com/gmdavef
Generate SBOM	Python script to generate a Software Bill of Materials (SBOM) for an application in either CycloneDX or SPDX format.	Chris Tyson	Scan Results, Python, SCA, SBOM, Automation Script	https://github.com/christyson/GenerateSBOM	https://github.com/christyson
Generate SBOM	PowerShell to generate a Software Bill of Materials (SBOM) for an application in either CycloneDX or SPDX format.	Chris Tyson	Scan Results, PowerShell, SCA, SBOM, Automation Script	https://github.com/christyson/GenerateSBOMPS	https://github.com/christyson
Hygieia	Veracode scan collector and parser for the [Hygieia dashboard|https://github.com/Hygieia/ExecDashboard].	Mickfeech	Scan Results, Hygieia, Plugin	https://github.com/mickfeech/hygieia_veracode_collector	https://github.com/mickfeech/
JupiterOne Graph Veracode	A graph conversion tool for Veracode.	JupiterOne	Scan Results, JupiterOne, Automation Script	https://github.com/JupiterOne/graph-veracode	https://github.com/JupiterOne/
SCA Extractor	Creates a CSV file with open source vulnerability (SCA) findings for all builds in the input file.	Brian1917	Scan Results, SCA, Automation Script	https://github.com/brian1917/vcodeSCAExtractor	https://github.com/brian1917
Veracode Container Scan results to HTML	Converts the JSON output of a Veracode container scan into HTML.	Cadonuno	Scan Results, Container Scan, Automation Script	https://github.com/cadonuno/VeracodeContainerScanToHtml	https://github.com/cadonuno
Veracode Scan Compare	Use this tool to compare two Veracode Static Analysis (SAST) scans to understand why they are different.	antfie	Scan Results, Automation Script	https://github.com/antfie/scan_compare	https://github.com/antfie
Veracode Scan Health	Produces a SAST scan health report with guidance on changes to make in order to improve the packaging and module selection to achieve greater flaw accuracy.	antfie	Scan Results, Scan Health, Automation Script	https://github.com/antfie/scan_health	https://github.com/antfie
Stats	Summary statistics for a Veracode account on the command line.	Ctcampbell	Scan Results, Statistics, Automation Script	https://github.com/ctcampbell/veracode-stats	https://github.com/ctcampbell
VeraData	Console application that will retrieve data (all scans, flaws, mitigations, etc) for a given AppId and store the results in a relational schema ready for plugging your favourite BI tool into (only supports MSSQL Server currently).	Seb Coles	Scan Results, MSSQL, Automation Script	https://github.com/sebcoles/VeraData	https://github.com/sebcoles
VeraCustomTriage	App that generates a .xlsx remediation plan from a set of scan results augmented with text from JSON configuration files. Custom text is added when flaw criteria is met (such as a CWE ID, module name, file or line number). This allows custom text such as internal workflows, wiki links, training, code snippets, 2nd party information or other languages into the auto generated remediation plan. Enables app sec teams to triage large volumes of flaws quickly whilst sharing a core advice repository in code.	Seb Coles	Scan Results, Remediation, Automation Script	https://github.com/sebcoles/VeraCustomTriage	https://github.com/sebcoles
Veracode Report Converter (CSV)	.NET Framework utility to extract useful data from Detailed Report XML file into CSV format	Dipsylala	Scan Results, Automation Script	https://github.com/dipsylala/VeracodeReportConverter-Windows	https://github.com/dipsylala/
Veracode Report Converter Portable (CSV)	.NET Core utility to extract useful data from Detailed Report XML file into CSV format	Dipsylala	Scan Results, Automation Script	https://github.com/dipsylala/VeracodeReportConverter-Portable	https://github.com/dipsylala/
Veracode Bulk Reporting API Import	Retrieves all the data available from the Veracode Reporting API from a specific start date	Cadonuno	Scan Results, Bulk Processing, Historic Data, Automation Script	https://github.com/cadonuno/veracode-reporting-api-bulk-import	https://github.com/cadonuno/
Veracode Gitlab SCA results report and issue generation	Rewrites Veracode's Agent Based SCA json results in Gitlab readable report format in order to display results as dependency scanning on the pipeline run	julz0815	Scan Results, SCA, GitLab, Automation Script	https://gitlab.com/julz0815/scaresultsreport	https://gitlab.com/julz0815/
Veracode Gitlab static results report and issue generation	A little Java Script will download json results from a Veracode policy or sandbox scan into Gitlab readable report format in order display results as SAST results on the pipeline run and create Gitlab issues on the findings	julz0815	Scan Results, SAST, GitLab, Automation Script	https://gitlab.com/julz0815/veracodesastresultsimport	https://gitlab.com/julz0815/
veracode-to-csv	This script outputs one CSV file per scan per application profile visible in a Veracode platform account. The output can be imported into  Splunk for further analysis.	tjarrettveracode	Scan Results, Bulk Processing, Historic Data, Automation Script	https://github.com/tjarrettveracode/veracode-to-csv/	https://github.com/tjarrettveracode
VCCLI	Veracode AST and Security Labs utility in .NET Core.	Michaelhorty	Scan Results, Security Labs, SecLabs, DAST, SAST, Plugin	https://github.com/michaelhorty/VCCLI	https://github.com/michaelhorty
Veracode Container Security Display (Unofficial)	Display, sort and filter Container Security JSON results.	relaxnow	Scan Results, Container Scan, Plugin	https://relaxnow.github.io/vcsd/	https://relaxnow.github.io/vcsd/
TopDesk	Integration with ITSM/CSC/ESM tool called [TopDesk|https://www.topdesk.com/].	Daniel-Marchi	Scan Results, TopDesk, ITSM, CSC, ESM, Plugin	https://github.com/daniel-marchi/Veracode.Integration.TopDesk	https://github.com/daniel-marchi
